0	2	2801
1	2	935
2	2	1766
3	2	384
4	2	1664
5	0	4669
5	1	2952
6	0	574
6	1	2952
7	2	876
8	0	4669
8	1	2261
9	2	1710
10	2	1729
11	2	5080
12	2	4163
13	0	93
13	1	2261
14	2	4139
15	0	4669
15	1	876
16	2	2569
17	2	860
18	2	546
19	2	3522
20	2	888
21	2	4535
22	2	1620
23	2	3844
24	2	4965
25	2	2298
26	2	3425
27	2	3349
28	2	1625
29	2	1365
30	0	4669
30	1	603
31	2	2519
32	0	2529
32	1	1014
33	2	1519
34	0	4415
34	1	2569
35	2	3210
36	0	574
36	1	2569
37	2	958
38	0	574
38	1	453
39	2	2028
40	2	181
41	2	3256
42	2	853
43	0	3035
43	1	2952
44	2	205
45	2	73
46	0	4669
46	1	4163
47	2	511
48	2	1731
49	0	4669
49	1	3908
50	2	3331
51	0	2937
51	1	453
52	0	2807
52	1	2261
53	2	877
54	2	4517
55	2	2037
56	2	4986
57	0	4669
57	1	5073
58	2	2609
59	0	1990
59	1	2261
60	2	3690
61	0	93
61	1	855
62	0	93
62	1	4163
63	0	574
63	1	3908
64	2	3566
65	2	1244
66	2	2
67	0	2998
67	1	1014
68	0	456
68	1	2952
69	2	2113
70	2	5039
71	2	57
72	2	2100
73	0	574
73	1	3627
74	0	574
74	1	4892
75	2	4402
76	2	2292
77	2	4244
78	0	1830
78	1	2952
79	0	2461
79	1	2952
80	2	3367
81	0	574
81	1	3383
82	0	1990
82	1	4708
83	0	3906
83	1	2952
84	2	4564
85	0	274
85	1	2261
86	0	1210
86	1	1710
87	0	3747
87	1	453
88	0	574
88	1	3844
89	2	2275
90	2	1601
91	0	4669
91	1	2
92	2	1560
93	2	41
94	0	2496
94	1	4892
95	2	2166
96	0	4669
96	1	3241
97	0	2807
97	1	935
98	0	1990
98	1	855
99	0	1990
99	1	4892
100	0	2496
100	1	876
101	2	5109
102	2	3999
103	0	4729
103	1	876
104	2	808
105	2	1698
106	0	2435
106	1	4463
107	2	4007
108	2	2615
109	0	574
109	1	5035
110	2	2002
111	2	1227
112	2	4433
113	0	721
113	1	603
114	2	2963
115	0	1830
115	1	1620
116	0	1717
116	1	4534
117	0	2807
117	1	5073
118	0	1990
118	1	384
119	2	4287
120	2	3548
121	0	2937
121	1	4464
122	0	4669
122	1	3327
123	0	2937
123	1	1620
124	2	4576
125	2	3772
126	2	2215
127	0	1210
127	1	384
128	2	2640
129	0	574
129	1	384
130	2	3976
131	2	6
132	2	3234
133	0	574
133	1	2
134	2	3175
135	0	2016
135	1	453
136	0	1079
136	1	1014
137	0	1140
137	1	876
138	2	2986
139	0	2937
139	1	3620
140	2	1348
141	0	4669
141	1	4463
142	0	4669
142	1	1415
143	0	3906
143	1	935
144	0	1210
144	1	5035
145	0	274
145	1	1620
146	2	2918
147	2	694
148	0	4415
148	1	453
149	0	572
149	1	876
150	2	2248
151	0	574
151	1	2901
152	0	2957
152	1	1876
153	0	1990
153	1	5073
154	0	4669
154	1	2975
155	0	3747
155	1	876
156	2	5146
157	0	574
157	1	4163
158	2	4712
159	2	4176
160	0	1945
160	1	1008
161	0	4415
161	1	4708
162	0	354
162	1	4988
163	0	3035
163	1	1014
164	0	3035
164	1	603
165	0	1717
165	1	4708
166	0	1210
166	1	4708
167	2	4500
168	2	1611
169	2	3306
170	0	4512
170	1	1014
171	0	4415
171	1	3844
172	2	4461
173	2	3832
174	0	721
174	1	4708
175	0	1990
175	1	3091
176	0	2937
176	1	3091
177	0	2461
177	1	4708
178	0	4415
178	1	3627
179	2	2852
180	2	2928
181	0	354
181	1	2261
182	0	93
182	1	2954
183	0	3906
183	1	2975
184	2	684
185	2	4258
186	0	1990
186	1	3327
187	0	1990
187	1	2698
188	2	2670
189	0	2807
189	1	4163
190	2	4838
191	2	2433
192	0	93
192	1	1710
193	2	4489
194	0	1830
194	1	5073
195	0	4669
195	1	4030
196	2	4444
197	0	3035
197	1	384
198	0	292
198	1	5099
199	2	1209
200	0	93
200	1	2569
201	2	2317
202	2	2108
203	0	3906
203	1	2801
204	2	4189
205	0	2016
205	1	2952
206	0	572
206	1	1008
207	0	4669
207	1	3375
208	0	3109
208	1	2261
209	0	2461
209	1	876
210	0	1990
210	1	2954
211	2	432
212	2	2341
213	2	1048
214	2	2139
215	0	4669
215	1	2214
216	0	1990
216	1	3331
217	0	865
217	1	384
218	2	2865
219	0	574
219	1	553
220	2	3592
221	2	4472
222	0	1210
222	1	5099
223	2	1473
224	0	292
224	1	1365
225	0	3906
225	1	876
226	2	3786
227	0	2529
227	1	876
228	0	4669
228	1	1876
229	0	1210
229	1	4584
230	0	865
230	1	935
231	0	1990
231	1	3383
232	0	2937
232	1	4290
233	0	274
233	1	4464
234	0	3906
234	1	855
235	0	3944
235	1	935
236	0	93
236	1	1008
237	0	4642
237	1	876
238	2	1558
239	0	4380
239	1	2261
240	0	2435
240	1	2261
241	2	905
242	2	2923
243	2	2965
244	0	2807
244	1	384
245	2	4840
246	0	4415
246	1	603
247	2	1931
248	2	4600
249	0	2807
249	1	4892
250	2	1804
251	2	4303
252	2	5042
253	0	1140
253	1	4708
254	2	1880
255	2	1591
256	2	3860
257	2	5025
258	0	574
258	1	4030
259	0	1830
259	1	2801
260	0	4415
260	1	1766
261	0	2496
261	1	4708
262	0	4415
262	1	3383
263	0	5111
263	1	1766
264	0	2959
264	1	2952
265	2	3145
266	2	4082
267	2	5103
268	0	366
268	1	2261
269	0	4822
269	1	1729
270	2	4536
271	2	3046
272	0	274
272	1	4892
273	2	3409
274	2	96
275	0	4669
275	1	4290
276	2	1417
277	0	2957
277	1	4708
278	0	4669
278	1	988
279	2	3849
280	2	1038
281	0	574
281	1	3091
282	2	648
283	2	3297
284	0	2529
284	1	2952
285	0	3906
285	1	1217
286	2	1163
287	0	2024
287	1	453
288	2	3613
289	2	2576
290	0	3035
290	1	3383
291	0	574
291	1	4463
292	2	3059
293	0	4642
293	1	603
294	0	4669
294	1	4313
295	2	883
296	0	920
296	1	4708
297	2	910
298	0	1830
298	1	2
299	0	4729
299	1	4534
300	2	145
301	2	4578
302	0	4669
302	1	4866
303	0	1210
303	1	3690
304	0	1830
304	1	5035
305	0	4415
305	1	1014
306	2	220
307	2	1872
308	2	2740
309	2	3703
310	2	2841
311	2	4084
312	2	4872
313	0	1990
313	1	41
314	0	1518
314	1	2952
315	0	4669
315	1	514
316	2	630
317	2	602
318	0	1830
318	1	1217
319	0	1990
319	1	3241
320	0	4738
320	1	73
321	0	3906
321	1	2901
322	0	2301
322	1	2952
323	0	1830
323	1	384
324	0	4642
324	1	5073
325	2	3496
326	2	1769
327	0	770
327	1	876
328	0	1210
328	1	3844
329	2	688
330	0	4669
330	1	694
331	0	3484
331	1	4708
332	0	93
332	1	4030
333	0	3035
333	1	219
334	0	2529
334	1	1766
335	0	3035
335	1	3908
336	0	2937
336	1	888
337	0	4637
337	1	1014
338	0	4642
338	1	1729
339	0	1990
339	1	2519
340	2	2629
341	0	2937
341	1	3256
342	0	865
342	1	2954
343	0	1382
343	1	2261
344	0	3906
344	1	3908
345	0	98
345	1	453
346	2	497
347	2	4147
348	2	1754
349	0	2287
349	1	2569
350	2	640
351	2	3438
352	0	1518
352	1	4708
353	0	5076
353	1	4534
354	2	2638
355	0	4415
355	1	1710
356	2	3880
357	0	4752
357	1	935
358	0	415
358	1	603
359	2	1997
360	2	1457
361	0	292
361	1	4464
362	2	3125
363	2	1089
364	2	1203
365	2	2118
366	2	3759
367	2	1471
368	2	925
369	2	1737
370	0	865
370	1	1642
371	2	3251
372	0	274
372	1	5073
373	0	2937
373	1	5073
374	2	1643
375	2	1111
376	0	5111
376	1	603
377	0	574
377	1	4313
378	2	2468
379	2	5061
380	0	3747
380	1	4708
381	0	292
381	1	4290
382	2	3889
383	0	93
383	1	4584
384	0	3035
384	1	3627
385	0	2435
385	1	3179
386	0	1945
386	1	2901
387	2	3333
388	0	93
388	1	1356
389	0	1140
389	1	3383
390	2	4691
391	0	4669
391	1	1897
392	0	2807
392	1	2
393	2	3947
394	0	4746
394	1	1766
395	2	4262
396	2	2853
397	2	3711
398	0	1990
398	1	1271
399	2	704
400	0	712
400	1	4534
401	2	2274
402	0	1990
402	1	73
403	2	3295
404	0	2461
404	1	1729
405	2	3740
406	2	4396
407	0	2496
407	1	3627
408	2	4387
409	2	4123
410	0	5043
410	1	603
411	0	4110
411	1	4464
412	0	4669
412	1	604
413	0	2758
413	1	4988
414	0	1990
414	1	1642
415	2	3674
416	0	292
416	1	3091
417	0	3560
417	1	2261
418	2	1188
419	2	994
420	2	4158
421	0	4669
421	1	3467
422	0	2957
422	1	4464
423	2	3628
424	0	574
424	1	988
425	0	3906
425	1	1766
426	0	2807
426	1	5080
427	2	2879
428	0	4822
428	1	3690
429	0	2957
429	1	2261
430	2	1027
431	0	4669
431	1	2098
432	2	1385
433	0	574
433	1	2008
434	2	3363
435	0	1945
435	1	5035
436	2	4471
437	2	4955
438	0	1210
438	1	3375
439	0	3035
439	1	3844
440	0	5071
440	1	1766
441	2	2626
442	0	1210
442	1	2569
443	0	2974
443	1	1766
444	0	2016
444	1	1014
445	0	721
445	1	3844
446	0	2024
446	1	876
447	2	441
448	2	3424
449	2	3161
450	2	2885
451	0	1210
451	1	3467
452	2	2269
453	0	1943
453	1	55
454	2	346
455	2	1536
456	0	4637
456	1	1179
457	2	1723
458	2	3107
459	2	2495
460	2	2700
461	0	865
461	1	553
462	2	4505
463	0	2435
463	1	2162
464	0	574
464	1	888
465	0	3035
465	1	4892
466	2	324
467	0	147
467	1	5099
468	2	952
469	2	2030
470	2	446
471	2	1363
